measure calculation,annex,country,fishing_activity,fishing_capacity,gt_days_at_sea,no_vessels,nominal_effort,regulated area,regulated gear,specon,vessel length,year
16799,BAL,DNK,197,798,1664,3,16799,A,GILL,NONE,O10T12M,2005
3354,BAL,DNK,29,226,290,1,3354,B,GILL,NONE,O10T12M,2005
13430,BAL,DNK,153,398,1728,3,13430,A,NONE,NONE,O10T12M,2005
7672,BAL,DNK,67,1051,814,4,7672,A,OTTER,NONE,O10T12M,2005
61,BAL,DNK,0,122,5,1,61,B,OTTER,NONE,O10T12M,2005
3222,BAL,DNK,29,225,417,2,3222,A,PEL_TRAWL,NONE,O10T12M,2005
71,BAL,DNK,1,71,11,1,71,A,POTS,NONE,O10T12M,2005
8181,BAL,DNK,101,81,1585,1,8181,A,R-DEM_SEINE,NONE,O10T12M,2005
273914,BAL,DNK,3358,6110,29060,19,273914,A,R-GILL,NONE,O10T12M,2005
123344,BAL,DNK,1305,1516,12931,11,123344,B,R-GILL,NONE,O10T12M,2005
31099,BAL,DNK,423,747,3040,6,31099,A,R-LONGLINE,NONE,O10T12M,2005
32852,BAL,DNK,323,733,3092,8,32852,B,R-LONGLINE,NONE,O10T12M,2005
256994,BAL,DNK,2234,4500,30087,21,256994,A,R-OTTER,NONE,O10T12M,2005
73609,BAL,DNK,679,1224,8799,11,73609,B,R-OTTER,NONE,O10T12M,2005
126,BAL,DNK,1,126,16,1,126,A,R-PEL_TRAWL,NONE,O10T12M,2005
228,BAL,DNK,2,114,22,1,228,B,R-PEL_TRAWL,NONE,O10T12M,2005
86634,BAL,DNK,934,2057,9711,10,86634,A,R-TRAMMEL,NONE,O10T12M,2005
792,BAL,DNK,6,132,44,1,792,B,R-TRAMMEL,NONE,O10T12M,2005
1414,BAL,EST,7,7,48,1,1414,C,R-OTTER,NONE,O10T12M,2005
161.32,BAL,LTU,4,,43.84,,161.32,B,GILL,NONE,O10T12M,2005
1001.65,BAL,LTU,21,,143.76,,1001.65,B,R-GILL,NONE,O10T12M,2005
1750,BAL,POL,25,70,225,1,1750,A,DEM_SEINE,NONE,O10T12M,2005
46773,BAL,POL,785,1432,7769,19,46773,A,GILL,NONE,O10T12M,2005
264,BAL,POL,3,96,37,1,264,B,GILL,NONE,O10T12M,2005
11820,BAL,POL,126,400,1335,3,11820,A,OTTER,NONE,O10T12M,2005
130,BAL,POL,1,130,10,1,130,A,PEL_TRAWL,NONE,O10T12M,2005
840,BAL,POL,12,70,132,1,840,A,POTS,NONE,O10T12M,2005
970,BAL,POL,14,140,157,1,970,B,POTS,NONE,O10T12M,2005
68242,BAL,POL,1088,2417,11288,28,68242,A,R-GILL,NONE,O10T12M,2005
255853,BAL,POL,3397,4501,38479,55,255853,B,R-GILL,NONE,O10T12M,2005
32428,BAL,POL,433,2118,5298,26,32428,A,R-LONGLINE,NONE,O10T12M,2005
156381,BAL,POL,1961,3998,23716,45,156381,B,R-LONGLINE,NONE,O10T12M,2005
24768,BAL,SWE,229,927,3366,4,24768,A,GILL,NONE,O10T12M,2005
5533,BAL,SWE,85,146,769,2,5533,B,GILL,NONE,O10T12M,2005
128861,BAL,SWE,873,3879,8207,16,128861,C,GILL,NONE,O10T12M,2005
17950,BAL,SWE,69,525,558,3,17950,A,NONE,NONE,O10T12M,2005
9240,BAL,SWE,27,490,428,2,9240,B,NONE,NONE,O10T12M,2005
1544,BAL,SWE,6,257,29,1,1544,C,NONE,NONE,O10T12M,2005
3177,BAL,SWE,36,88,426,1,3177,B,OTTER,NONE,O10T12M,2005
125111,BAL,SWE,713,4967,7367,24,125111,C,OTTER,NONE,O10T12M,2005
88,BAL,SWE,1,88,6,1,88,C,PEL_TRAWL,NONE,O10T12M,2005
10207,BAL,SWE,132,162,1806,2,10207,A,POTS,NONE,O10T12M,2005
6341,BAL,SWE,98,65,885,1,6341,B,POTS,NONE,O10T12M,2005
3581,BAL,SWE,31,433,252,1,3581,C,POTS,NONE,O10T12M,2005
435581,BAL,SWE,2885,6383,37566,19,435581,A,R-GILL,NONE,O10T12M,2005
443294,BAL,SWE,4471,7795,53267,43,443294,B,R-GILL,NONE,O10T12M,2005
16451,BAL,SWE,174,444,1945,2,16451,C,R-GILL,NONE,O10T12M,2005
75716,BAL,SWE,512,1054,8907,7,75716,A,R-LONGLINE,NONE,O10T12M,2005
146947,BAL,SWE,1553,3111,18295,30,146947,B,R-LONGLINE,NONE,O10T12M,2005
3760,BAL,SWE,31,121,480,1,3760,B,R-OTTER,NONE,O10T12M,2005
23139,BAL,SWE,269,609,2689,3,23139,A,R-TRAMMEL,NONE,O10T12M,2005
178,BAL,SWE,3,112,42,1,178,B,R-TRAMMEL,NONE,O10T12M,2005
1416,BAL,SWE,20,227,217,1,1416,B,TRAMMEL,NONE,O10T12M,2005
3656,BAL,SWE,37,306,438,2,3656,C,TRAMMEL,NONE,O10T12M,2005
168513,BAL,DEU,2069,5018,23604,34,168513,A,GILL,NONE,O10T12M,2006
35236,BAL,DEU,460,1700,4833,7,35236,A,NONE,NONE,O10T12M,2006
51665,BAL,DEU,314,2119,5493,7,51665,A,OTTER,NONE,O10T12M,2006
14632,BAL,DEU,93,957,1932,3,14632,A,PEL_TRAWL,NONE,O10T12M,2006
9907,BAL,DEU,138,622,1406,4,9907,A,POTS,NONE,O10T12M,2006
611923,BAL,DEU,6568,9724,78165,40,611923,A,R-GILL,NONE,O10T12M,2006
1219,BAL,DEU,12,327,136,3,1219,B,R-GILL,NONE,O10T12M,2006
56182,BAL,DEU,672,2242,7489,20,56182,A,R-LONGLINE,NONE,O10T12M,2006
350,BAL,DEU,2,175,34,1,350,B,R-LONGLINE,NONE,O10T12M,2006
4863,BAL,DEU,29,572,429,3,4863,A,R-OTTER,NONE,O10T12M,2006
25882,BAL,DEU,284,946,3740,5,25882,A,R-TRAMMEL,NONE,O10T12M,2006
294,BAL,DEU,2,147,30,1,294,A,TRAMMEL,NONE,O10T12M,2006
81,BAL,DNK,1,81,16,1,81,A,DEM_SEINE,NONE,O10T12M,2006
7493,BAL,DNK,68,632,619,2,7493,A,GILL,NONE,O10T12M,2006
1886,BAL,DNK,17,120,120,1,1886,B,GILL,NONE,O10T12M,2006
20047,BAL,DNK,220,446,2582,3,20047,A,NONE,NONE,O10T12M,2006
4966,BAL,DNK,36,976,490,2,4966,A,OTTER,NONE,O10T12M,2006
3548,BAL,DNK,28,129,407,1,3548,B,OTTER,NONE,O10T12M,2006
2664,BAL,DNK,24,222,348,1,2664,A,PEL_TRAWL,NONE,O10T12M,2006
1592,BAL,DNK,17,96,125,1,1592,A,POTS,NONE,O10T12M,2006
8181,BAL,DNK,101,162,1586,1,8181,A,R-DEM_SEINE,NONE,O10T12M,2006
234594,BAL,DNK,2981,5406,27305,15,234594,A,R-GILL,NONE,O10T12M,2006
123487,BAL,DNK,1262,1622,12422,11,123487,B,R-GILL,NONE,O10T12M,2006
37268,BAL,DNK,489,2732,4082,12,37268,A,R-LONGLINE,NONE,O10T12M,2006
54085,BAL,DNK,492,958,5466,8,54085,B,R-LONGLINE,NONE,O10T12M,2006
214044,BAL,DNK,1924,4591,25013,23,214044,A,R-OTTER,NONE,O10T12M,2006
64065,BAL,DNK,603,975,7666,9,64065,B,R-OTTER,NONE,O10T12M,2006
114,BAL,DNK,1,114,11,1,114,A,R-PEL_TRAWL,NONE,O10T12M,2006
88699,BAL,DNK,993,1430,10686,7,88699,A,R-TRAMMEL,NONE,O10T12M,2006
47,BAL,DNK,0,94,8,1,47,A,TRAMMEL,NONE,O10T12M,2006
2828,BAL,EST,14,7,97,1,2828,C,PEL_TRAWL,NONE,O10T12M,2006
5454,BAL,EST,27,7,186,1,5454,C,R-OTTER,NONE,O10T12M,2006
9629.89,BAL,LTU,205,,1564.69,,9629.89,B,GILL,NONE,O10T12M,2006
8999,BAL,LTU,183,,1257.8,,8999,B,R-GILL,NONE,O10T12M,2006
100,BAL,LTU,2,,14.22,,100,B,R-LONGLINE,NONE,O10T12M,2006
1820,BAL,POL,26,70,234,1,1820,A,DEM_SEINE,NONE,O10T12M,2006
36606,BAL,POL,569,1396,5731,14,36606,A,GILL,NONE,O10T12M,2006
1431,BAL,POL,18,220,178,3,1431,B,GILL,NONE,O10T12M,2006
9120,BAL,POL,90,270,933,3,9120,A,OTTER,NONE,O10T12M,2006
54,BAL,POL,1,54,10,1,54,B,OTTER,NONE,O10T12M,2006
572,BAL,POL,13,44,130,1,572,A,POTS,NONE,O10T12M,2006
1540,BAL,POL,22,140,242,1,1540,B,POTS,NONE,O10T12M,2006
52272,BAL,POL,802,1872,8753,20,52272,A,R-GILL,NONE,O10T12M,2006
214237,BAL,POL,2888,4348,33244,47,214237,B,R-GILL,NONE,O10T12M,2006
7979,BAL,POL,116,807,1286,9,7979,A,R-LONGLINE,NONE,O10T12M,2006
192200,BAL,POL,2355,3670,27780,41,192200,B,R-LONGLINE,NONE,O10T12M,2006
22201,BAL,SWE,200,642,2998,3,22201,A,GILL,NONE,O10T12M,2006
6420,BAL,SWE,99,201,900,2,6420,B,GILL,NONE,O10T12M,2006
96103,BAL,SWE,661,2818,5946,13,96103,C,GILL,NONE,O10T12M,2006
4901,BAL,SWE,31,595,507,3,4901,A,NONE,NONE,O10T12M,2006
7545,BAL,SWE,23,996,363,4,7545,B,NONE,NONE,O10T12M,2006
1544,BAL,SWE,6,257,29,1,1544,C,NONE,NONE,O10T12M,2006
1412,BAL,SWE,16,88,190,1,1412,B,OTTER,NONE,O10T12M,2006
130646,BAL,SWE,736,4967,7520,24,130646,C,OTTER,NONE,O10T12M,2006
1056,BAL,SWE,6,184,80,1,1056,C,PEL_TRAWL,NONE,O10T12M,2006
1607,BAL,SWE,16,272,184,3,1607,A,POTS,NONE,O10T12M,2006
5650,BAL,SWE,86,281,788,2,5650,B,POTS,NONE,O10T12M,2006
3529,BAL,SWE,40,176,435,1,3529,C,POTS,NONE,O10T12M,2006
361933,BAL,SWE,2499,4739,31204,17,361933,A,R-GILL,NONE,O10T12M,2006
412293,BAL,SWE,3883,8322,46238,44,412293,B,R-GILL,NONE,O10T12M,2006
10785,BAL,SWE,111,380,1267,3,10785,C,R-GILL,NONE,O10T12M,2006
24719,BAL,SWE,196,1450,2715,10,24719,A,R-LONGLINE,NONE,O10T12M,2006
121327,BAL,SWE,1440,3730,16988,33,121327,B,R-LONGLINE,NONE,O10T12M,2006
5387,BAL,SWE,31,305,571,2,5387,B,R-OTTER,NONE,O10T12M,2006
12222,BAL,SWE,178,436,1364,2,12222,A,R-TRAMMEL,NONE,O10T12M,2006
265,BAL,SWE,4,66,63,1,265,B,R-TRAMMEL,NONE,O10T12M,2006
5465,BAL,SWE,69,293,779,2,5465,B,TRAMMEL,NONE,O10T12M,2006
3918,BAL,SWE,36,218,373,1,3918,C,TRAMMEL,NONE,O10T12M,2006
209673,BAL,DEU,2682,5187,30135,36,209673,A,GILL,NONE,O10T12M,2007
14827,BAL,DEU,253,951,2702,5,14827,A,NONE,NONE,O10T12M,2007
36240,BAL,DEU,227,1965,3690,7,36240,A,OTTER,NONE,O10T12M,2007
9617,BAL,DEU,61,518,1128,2,9617,A,PEL_TRAWL,NONE,O10T12M,2007
13922,BAL,DEU,179,944,1775,6,13922,A,POTS,NONE,O10T12M,2007
580024,BAL,DEU,6178,9221,75279,39,580024,A,R-GILL,NONE,O10T12M,2007
53234,BAL,DEU,622,2085,6922,21,53234,A,R-LONGLINE,NONE,O10T12M,2007
