measure calculation,annex,country,fishing_activity,fishing_capacity,gt_days_at_sea,no_vessels,nominal_effort,regulated area,regulated gear,specon,vessel length,year
48133,BAL,FIN,110,14893,14893,5,48133,A,NONE,NONE,NONE,2013
28614,BAL,FIN,58,11119,11119,3,28614,B,NONE,NONE,NONE,2013
476532.36,BAL,FIN,655,163763.9,163763.9,6,476532.36,C,NONE,NONE,NONE,2013
,BAL,FIN,6307,,,,,C,GILL,NONE,NONE,2015
,BAL,FIN,40,,,,,C,PEL_SEINE,NONE,NONE,2015
,BAL,FIN,3056,,,,,C,POTS,NONE,NONE,2015
,BAL,FIN,3988,,,,,C,R-GILL,NONE,NONE,2015
,BAL,FIN,668,,,,,C,R-LONGLINE,NONE,NONE,2015
,BAL,FIN,15310,,,,,C,GILL,NONE,NONE,2016
,BAL,FIN,11,,,,,C,PEL_SEINE,NONE,NONE,2016
,BAL,FIN,15,,,,,C,PEL_TRAWL,NONE,NONE,2016
,BAL,FIN,4283,,,,,C,POTS,NONE,NONE,2016
,BAL,FIN,8682,,,,,C,R-GILL,NONE,NONE,2016
,BAL,FIN,1515,,,,,C,R-LONGLINE,NONE,NONE,2016
452,BAL,SWE,2,452,30,2,452,A,R-OTTER,BACOMA,O10T12M,2003
9843,BAL,SWE,63,512,935,3,9843,B,R-OTTER,BACOMA,O10T12M,2003
1850,BAL,POL,20,340,223,4,1850,A,R-OTTER,BACOMA,O10T12M,2004
13020,BAL,POL,81,245,1274,1,13020,B,R-OTTER,BACOMA,O10T12M,2004
1674,BAL,SWE,21,416,332,2,1674,A,R-OTTER,BACOMA,O10T12M,2004
11217,BAL,SWE,107,563,1693,3,11217,B,R-OTTER,BACOMA,O10T12M,2004
4200,BAL,POL,36,305,449,2,4200,A,R-OTTER,BACOMA,O10T12M,2005
15670,BAL,POL,94,375,1463,3,15670,B,R-OTTER,BACOMA,O10T12M,2005
132,BAL,SWE,2,66,32,1,132,A,R-OTTER,BACOMA,O10T12M,2005
1521,BAL,SWE,23,66,364,1,1521,B,R-OTTER,BACOMA,O10T12M,2005
249738,BAL,DEU,1620,3930,24990,12,249738,A,R-OTTER,BACOMA,O10T12M,2006
7096,BAL,DEU,43,790,800,3,7096,B,R-OTTER,BACOMA,O10T12M,2006
8706,BAL,DEU,57,313,1017,2,8706,A,R-PEL_TRAWL,BACOMA,O10T12M,2006
3530,BAL,POL,38,270,414,3,3530,A,R-OTTER,BACOMA,O10T12M,2006
20844,BAL,POL,148,376,2166,3,20844,B,R-OTTER,BACOMA,O10T12M,2006
3060,BAL,SWE,30,102,436,1,3060,A,R-OTTER,BACOMA,O10T12M,2006
10831,BAL,SWE,113,452,1715,2,10831,B,R-OTTER,BACOMA,O10T12M,2006
199134,BAL,DEU,1246,3201,19197,10,199134,A,R-OTTER,BACOMA,O10T12M,2007
5219,BAL,DEU,31,473,693,3,5219,B,R-OTTER,BACOMA,O10T12M,2007
9513,BAL,DEU,63,151,1134,1,9513,A,R-PEL_TRAWL,BACOMA,O10T12M,2007
14106,BAL,POL,99,522,1812,4,14106,A,R-OTTER,BACOMA,O10T12M,2007
22827,BAL,POL,165,392,2974,3,22827,B,R-OTTER,BACOMA,O10T12M,2007
2434,BAL,SWE,19,452,279,2,2434,A,R-OTTER,BACOMA,O10T12M,2007
11722,BAL,SWE,59,452,888,2,11722,B,R-OTTER,BACOMA,O10T12M,2007
196146,BAL,DEU,1365,4357,20626,12,196146,A,R-OTTER,BACOMA,O10T12M,2008
10108,BAL,DEU,54,709,1086,3,10108,B,R-OTTER,BACOMA,O10T12M,2008
1661,BAL,DEU,11,151,198,1,1661,A,R-PEL_TRAWL,BACOMA,O10T12M,2008
9867,BAL,POL,69,592,1150,5,9867,A,R-OTTER,BACOMA,O10T12M,2008
25675,BAL,POL,169,522,2936,4,25675,B,R-OTTER,BACOMA,O10T12M,2008
1020,BAL,SWE,10,102,145,1,1020,A,R-OTTER,BACOMA,O10T12M,2008
22346,BAL,SWE,80,567,1230,2,22346,B,R-OTTER,BACOMA,O10T12M,2008
155788,BAL,DEU,1028,3962,15825,12,155788,A,R-OTTER,BACOMA,O10T12M,2009
15553,BAL,DEU,119,1368,1530,9,15553,B,R-OTTER,BACOMA,O10T12M,2009
8118,BAL,POL,63,397,804,4,8118,A,R-OTTER,BACOMA,O10T12M,2009
27573,BAL,POL,173,522,2642,4,27573,B,R-OTTER,BACOMA,O10T12M,2009
796,BAL,SWE,7,286,107,2,796,A,R-OTTER,BACOMA,O10T12M,2009
18287,BAL,SWE,125,420,2109,3,18287,B,R-OTTER,BACOMA,O10T12M,2009
148199,BAL,DEU,1023,4081,15980,13,148199,A,R-OTTER,BACOMA,O10T12M,2010
24652,BAL,DEU,186,1325,2582,8,24652,B,R-OTTER,BACOMA,O10T12M,2010
11511,BAL,POL,92,684,1470,6,11511,A,R-OTTER,BACOMA,O10T12M,2010
46445,BAL,POL,330,450,4860,4,46445,B,R-OTTER,BACOMA,O10T12M,2010
11032,BAL,SWE,60,184,1140,1,11032,B,R-OTTER,BACOMA,O10T12M,2010
158934,BAL,DEU,1095,3739,16453,14,158934,A,R-OTTER,BACOMA,O10T12M,2011
6776,BAL,DEU,32,368,452,2,6776,B,R-OTTER,BACOMA,O10T12M,2011
6436,BAL,SWE,35,184,665,1,6436,B,R-OTTER,BACOMA,O10T12M,2011
122269,BAL,DEU,797,260,11644,11,122269,A,R-OTTER,BACOMA,O10T12M,2012
1290,BAL,DEU,8,47,124,3,1290,B,R-OTTER,BACOMA,O10T12M,2012
184,BAL,SWE,1,184,19,1,184,A,R-OTTER,BACOMA,O10T12M,2012
3310,BAL,SWE,18,184,342,1,3310,B,R-OTTER,BACOMA,O10T12M,2012
183.87,BAL,SWE,1,183.87,19,1,183.87,B,R-OTTER,BACOMA,O10T12M,2013
522,BAL,SWE,3,174,58.2,1,522,B,R-OTTER,BACOMA,O10T12M,2015
71870,BAL,DEU,524.06,176,7521,8,71870,A,R-OTTER,BACOMA,O10T12M,2016
161583,BAL,DEU,2002,4896,23705,31,161583,A,GILL,NONE,O10T12M,2003
44808,BAL,DEU,605,1291,6029,7,44808,A,NONE,NONE,O10T12M,2003
63164,BAL,DEU,382,3169,7202,11,63164,A,OTTER,NONE,O10T12M,2003
1056,BAL,DEU,12,88,144,1,1056,A,PEL_TRAWL,NONE,O10T12M,2003
12717,BAL,DEU,192,694,1821,9,12717,A,POTS,NONE,O10T12M,2003
608760,BAL,DEU,6907,9881,81790,38,608760,A,R-GILL,NONE,O10T12M,2003
49744,BAL,DEU,725,1609,7276,13,49744,A,R-LONGLINE,NONE,O10T12M,2003
326031,BAL,DEU,2134,5502,35207,18,326031,A,R-OTTER,NONE,O10T12M,2003
1925,BAL,DEU,11,175,187,1,1925,B,R-OTTER,NONE,O10T12M,2003
9908,BAL,DEU,171,336,2144,4,9908,A,R-TRAMMEL,NONE,O10T12M,2003
14565,BAL,DNK,188,1174,1787,3,14565,A,GILL,NONE,O10T12M,2003
5626,BAL,DNK,51,454,560,1,5626,B,GILL,NONE,O10T12M,2003
17225,BAL,DNK,181,549,2150,3,17225,A,NONE,NONE,O10T12M,2003
170,BAL,DNK,2,92,15,1,170,B,NONE,NONE,O10T12M,2003
4131,BAL,DNK,37,390,467,3,4131,A,OTTER,NONE,O10T12M,2003
1779,BAL,DNK,18,327,211,3,1779,B,OTTER,NONE,O10T12M,2003
2109,BAL,DNK,19,222,275,1,2109,A,PEL_TRAWL,NONE,O10T12M,2003
8829,BAL,DNK,109,81,1711,1,8829,A,R-DEM_SEINE,NONE,O10T12M,2003
242474,BAL,DNK,3075,5105,26209,15,242474,A,R-GILL,NONE,O10T12M,2003
176991,BAL,DNK,1859,2129,17413,15,176991,B,R-GILL,NONE,O10T12M,2003
34838,BAL,DNK,471,956,3884,9,34838,A,R-LONGLINE,NONE,O10T12M,2003
64415,BAL,DNK,607,1391,6415,14,64415,B,R-LONGLINE,NONE,O10T12M,2003
232353,BAL,DNK,2073,4119,28157,25,232353,A,R-OTTER,NONE,O10T12M,2003
78966,BAL,DNK,780,1249,9098,12,78966,B,R-OTTER,NONE,O10T12M,2003
65187,BAL,DNK,713,1331,7277,6,65187,A,R-TRAMMEL,NONE,O10T12M,2003
2702,BAL,DNK,21,129,301,1,2702,B,R-TRAMMEL,NONE,O10T12M,2003
795,BAL,DNK,11,96,124,1,795,A,TRAMMEL,NONE,O10T12M,2003
24118,BAL,SWE,220,554,3267,3,24118,A,GILL,NONE,O10T12M,2003
219,BAL,SWE,4,65,41,1,219,B,GILL,NONE,O10T12M,2003
151511,BAL,SWE,995,3340,9490,13,151511,C,GILL,NONE,O10T12M,2003
5651,BAL,SWE,17,401,271,2,5651,B,NONE,NONE,O10T12M,2003
4853,BAL,SWE,55,88,652,1,4853,B,OTTER,NONE,O10T12M,2003
109372,BAL,SWE,631,4645,6382,23,109372,C,OTTER,NONE,O10T12M,2003
96,BAL,SWE,1,96,6,1,96,C,PEL_TRAWL,NONE,O10T12M,2003
11718,BAL,SWE,145,162,1703,2,11718,A,POTS,NONE,O10T12M,2003
17816,BAL,SWE,116,257,1405,1,17816,C,POTS,NONE,O10T12M,2003
489110,BAL,SWE,3011,5606,41376,19,489110,A,R-GILL,NONE,O10T12M,2003
744593,BAL,SWE,7741,10075,90085,63,744593,B,R-GILL,NONE,O10T12M,2003
27050,BAL,SWE,260,514,3132,3,27050,C,R-GILL,NONE,O10T12M,2003
3374,BAL,SWE,30,482,272,3,3374,A,R-LONGLINE,NONE,O10T12M,2003
127482,BAL,SWE,1316,1912,14448,20,127482,B,R-LONGLINE,NONE,O10T12M,2003
132,BAL,SWE,2,66,32,1,132,A,R-OTTER,NONE,O10T12M,2003
7861,BAL,SWE,105,162,1621,2,7861,B,R-OTTER,NONE,O10T12M,2003
24153,BAL,SWE,256,646,2408,4,24153,A,R-TRAMMEL,NONE,O10T12M,2003
202,BAL,SWE,2,101,27,1,202,B,R-TRAMMEL,NONE,O10T12M,2003
2162,BAL,SWE,33,222,377,2,2162,B,TRAMMEL,NONE,O10T12M,2003
188825,BAL,DEU,2472,4949,28076,35,188825,A,GILL,NONE,O10T12M,2004
23590,BAL,DEU,331,795,3415,5,23590,A,NONE,NONE,O10T12M,2004
69302,BAL,DEU,446,3209,7724,11,69302,A,OTTER,NONE,O10T12M,2004
2559,BAL,DEU,15,313,417,1,2559,A,PEL_TRAWL,NONE,O10T12M,2004
5948,BAL,DEU,96,586,957,7,5948,A,POTS,NONE,O10T12M,2004
520775,BAL,DEU,6034,8877,70098,33,520775,A,R-GILL,NONE,O10T12M,2004
57908,BAL,DEU,764,2034,7977,24,57908,A,R-LONGLINE,NONE,O10T12M,2004
309792,BAL,DEU,2031,5595,33372,18,309792,A,R-OTTER,NONE,O10T12M,2004
18940,BAL,DEU,267,679,3157,6,18940,A,R-TRAMMEL,NONE,O10T12M,2004
10423,BAL,DNK,114,597,930,2,10423,A,GILL,NONE,O10T12M,2004
15516,BAL,DNK,183,625,1628,2,15516,B,GILL,NONE,O10T12M,2004
10025,BAL,DNK,117,354,1192,3,10025,A,NONE,NONE,O10T12M,2004
449,BAL,DNK,5,173,40,2,449,B,NONE,NONE,O10T12M,2004
3401,BAL,DNK,29,587,353,2,3401,A,OTTER,NONE,O10T12M,2004
444,BAL,DNK,4,111,58,1,444,A,PEL_TRAWL,NONE,O10T12M,2004
10533,BAL,DNK,130,165,2034,2,10533,A,R-DEM_SEINE,NONE,O10T12M,2004
245012,BAL,DNK,3110,7120,26179,15,245012,A,R-GILL,NONE,O10T12M,2004
167959,BAL,DNK,1523,2171,14990,13,167959,B,R-GILL,NONE,O10T12M,2004
35784,BAL,DNK,443,1057,3485,10,35784,A,R-LONGLINE,NONE,O10T12M,2004
35591,BAL,DNK,401,967,3644,10,35591,B,R-LONGLINE,NONE,O10T12M,2004
262779,BAL,DNK,2323,3825,32689,24,262779,A,R-OTTER,NONE,O10T12M,2004
75910,BAL,DNK,733,1358,9191,13,75910,B,R-OTTER,NONE,O10T12M,2004
85,BAL,DNK,1,85,12,1,85,A,R-PEL_TRAWL,NONE,O10T12M,2004
340,BAL,DNK,4,85,46,1,340,B,R-PEL_TRAWL,NONE,O10T12M,2004
59445,BAL,DNK,656,1164,6803,6,59445,A,R-TRAMMEL,NONE,O10T12M,2004
2064,BAL,DNK,16,129,235,1,2064,B,R-TRAMMEL,NONE,O10T12M,2004
2310,BAL,POL,33,70,297,1,2310,A,DEM_SEINE,NONE,O10T12M,2004
54112,BAL,POL,915,1793,8783,21,54112,A,GILL,NONE,O10T12M,2004
772,BAL,POL,13,103,123,2,772,B,GILL,NONE,O10T12M,2004
20659,BAL,POL,205,830,2338,5,20659,A,OTTER,NONE,O10T12M,2004
700,BAL,POL,4,175,64,1,700,B,OTTER,NONE,O10T12M,2004
2030,BAL,POL,29,70,319,1,2030,A,POTS,NONE,O10T12M,2004
70,BAL,POL,1,70,10,1,70,B,POTS,NONE,O10T12M,2004
61356,BAL,POL,1080,2306,10590,21,61356,A,R-GILL,NONE,O10T12M,2004
332136,BAL,POL,4217,4774,49545,51,332136,B,R-GILL,NONE,O10T12M,2004
9600,BAL,POL,182,1479,1795,12,9600,A,R-LONGLINE,NONE,O10T12M,2004
202215,BAL,POL,2548,4208,30047,46,202215,B,R-LONGLINE,NONE,O10T12M,2004
28691,BAL,SWE,238,1571,3535,5,28691,A,GILL,NONE,O10T12M,2004
453,BAL,SWE,7,65,63,1,453,B,GILL,NONE,O10T12M,2004
132441,BAL,SWE,853,4149,7854,13,132441,C,GILL,NONE,O10T12M,2004
490,BAL,SWE,2,350,39,1,490,A,NONE,NONE,O10T12M,2004
7800,BAL,SWE,23,450,358,2,7800,B,NONE,NONE,O10T12M,2004
2541,BAL,SWE,10,514,54,1,2541,C,NONE,NONE,O10T12M,2004
3177,BAL,SWE,36,88,427,1,3177,B,OTTER,NONE,O10T12M,2004
118633,BAL,SWE,728,4575,7399,23,118633,C,OTTER,NONE,O10T12M,2004
176,BAL,SWE,2,88,12,1,176,C,PEL_TRAWL,NONE,O10T12M,2004
4196,BAL,SWE,53,162,671,2,4196,A,POTS,NONE,O10T12M,2004
15631,BAL,SWE,128,257,1590,1,15631,C,POTS,NONE,O10T12M,2004
398421,BAL,SWE,2496,5448,33926,21,398421,A,R-GILL,NONE,O10T12M,2004
584048,BAL,SWE,6090,8965,70522,55,584048,B,R-GILL,NONE,O10T12M,2004
22921,BAL,SWE,233,757,2604,3,22921,C,R-GILL,NONE,O10T12M,2004
21785,BAL,SWE,153,1376,2301,7,21785,A,R-LONGLINE,NONE,O10T12M,2004
161964,BAL,SWE,1563,3051,17808,31,161964,B,R-LONGLINE,NONE,O10T12M,2004
17041,BAL,SWE,174,678,1996,5,17041,A,R-TRAMMEL,NONE,O10T12M,2004
673,BAL,SWE,10,200,96,1,673,B,R-TRAMMEL,NONE,O10T12M,2004
1854,BAL,SWE,29,258,273,2,1854,B,TRAMMEL,NONE,O10T12M,2004
618,BAL,SWE,7,88,94,1,618,C,TRAMMEL,NONE,O10T12M,2004
203623,BAL,DEU,2589,5426,31070,34,203623,A,GILL,NONE,O10T12M,2005
24722,BAL,DEU,371,924,3735,6,24722,A,NONE,NONE,O10T12M,2005
64653,BAL,DEU,409,2772,7386,7,64653,A,OTTER,NONE,O10T12M,2005
13430,BAL,DEU,86,507,1676,2,13430,A,PEL_TRAWL,NONE,O10T12M,2005
8080,BAL,DEU,120,491,1294,5,8080,A,POTS,NONE,O10T12M,2005
633562,BAL,DEU,6552,8805,76851,36,633562,A,R-GILL,NONE,O10T12M,2005
18859,BAL,DEU,167,1359,2090,12,18859,B,R-GILL,NONE,O10T12M,2005
73093,BAL,DEU,916,2297,9872,26,73093,A,R-LONGLINE,NONE,O10T12M,2005
746,BAL,DEU,6,260,76,1,746,B,R-LONGLINE,NONE,O10T12M,2005
266367,BAL,DEU,1706,5039,28825,14,266367,A,R-OTTER,NONE,O10T12M,2005
12277,BAL,DEU,83,2014,1400,10,12277,B,R-OTTER,NONE,O10T12M,2005
151,BAL,DEU,1,151,18,1,151,A,R-PEL_TRAWL,NONE,O10T12M,2005
302,BAL,DEU,2,151,36,1,302,B,R-PEL_TRAWL,NONE,O10T12M,2005
25613,BAL,DEU,339,822,4116,6,25613,A,R-TRAMMEL,NONE,O10T12M,2005
